Time,Payload,Payload_Frequency
15:52:02.621,00 00 00 00 00 00 00 00,7145
15:55:21.823,01 96 00 00 00 00 00 00,7
15:55:22.524,00 96 00 00 00 00 00 00,31
15:55:25.624,01 C4 00 00 00 00 00 00,40
15:55:25.924,00 C4 00 00 00 00 00 00,77
15:55:26.525,01 C4 00 00 00 00 00 00,40
15:55:27.023,00 C4 00 00 00 00 00 00,77
15:55:27.323,01 C4 00 00 00 00 00 00,40
15:55:28.023,00 C4 00 00 00 00 00 00,77
15:55:28.224,01 C4 00 00 00 00 00 00,40
15:55:29.024,00 C4 00 00 00 00 00 00,77
15:55:30.124,01 C4 00 00 00 00 00 00,40
15:55:31.024,00 C4 00 00 00 00 00 00,77
15:55:32.223,01 C4 00 00 00 00 00 00,40
15:55:33.024,00 C4 00 00 00 00 00 00,77
15:55:37.323,02 00 00 00 00 00 00 00,13
15:55:38.024,00 00 00 00 00 00 00 00,7145
15:55:48.025,02 00 00 00 00 00 00 00,13
15:55:48.625,00 00 00 00 00 00 00 00,7145
