ID_(dec),ID_(hex),Occurrences,Payload_Changes,Total_Unique_Payloads
283,11B,7407,7352,192
526,20E,7399,199,151
527,20F,7404,7403,60
536,218,7363,206,82
542,21E,73653,1957,1957
553,229,7370,1302,43
554,22A,6117,1081,49
560,230,7355,7347,3
569,239,7205,1141,51
570,23A,6120,1074,47
574,23E,14663,163,7
656,290,14695,14620,835
658,292,7436,7435,48
767,2FF,1814,1813,171
206158430208,3000000000,1481,1479,33
772,304,7391,317,16
854,356,730,728,7
879,36F,381,145,5
920,398,530,526,17
938,3AA,738,157,17
1027,403,7212,2864,4
1028,404,7290,2900,4
1031,407,7295,2916,4
1032,408,7296,1464,2
1033,409,7170,1442,4
1034,40A,7150,1435,4
1035,40B,7218,2914,4
1040,410,7219,7218,16
1284,504,18356,51,28
1290,50A,18120,33,11
1345,541,72298,72297,5198
