,ID_(dec),ID_(hex),Occurrences,Payload_Changes,Total_Unique_Payloads
62,1289,509,18263,0,1
12,537,219,7392,0,1
16,552,228,7361,0,1
60,1041,411,7329,0,1
13,538,21A,7061,0,1
19,558,22E,5584,0,1
79,1416,588,1266,0,1
39,787,313,989,0,1
40,788,314,738,0,1
72,1310,51E,735,0,1
35,776,308,734,0,1
33,771,303,733,0,1
36,777,309,732,0,1
48,911,38F,727,0,1
73,1315,523,727,0,1
38,783,30F,724,0,1
65,1293,50D,720,0,1
42,793,319,719,0,1
69,1300,514,714,0,1
71,1306,51A,706,0,1
37,778,30A,703,0,1
70,1305,519,695,0,1
43,831,33F,238,0,1
78,1407,57F,145,0,1
41,792,318,1,0,1
45,863,35F,1,0,1
50,936,3A8,1,0,1
28,600,258,1444,2,2
77,1400,578,3,2,3
9,531,213,7401,3,3
26,576,240,9183,4,4
67,1298,512,704,4,5
68,1299,513,702,4,5
75,1352,548,165,4,2
15,547,223,7353,5,3
21,564,234,7341,6,3
64,1291,50B,7023,8,5
66,1294,50E,6943,8,5
0,264,108,69537,9,4
22,568,238,7368,9,7
6,525,20D,7331,9,8
2,515,203,7418,13,8
76,1384,568,14,13,3
46,865,361,730,14,4
4,521,209,7409,18,10
5,522,20A,7340,18,10
3,520,208,7313,18,6
27,584,248,7352,20,7
10,532,214,7417,25,5
63,1290,50A,18120,33,11
61,1284,504,18356,51,28
47,879,36F,381,145,5
51,938,3AA,738,157,17
25,574,23E,14663,163,7
7,526,20E,7399,199,151
11,536,218,7363,206,82
34,772,304,7391,317,16
49,920,398,530,526,17
44,854,356,730,728,7
24,570,23A,6120,1074,47
18,554,22A,6117,1081,49
23,569,239,7205,1141,51
17,553,229,7370,1302,43
57,1034,40A,7150,1435,4
56,1033,409,7170,1442,4
55,1032,408,7296,1464,2
32,206158430208,3000000000,1481,1479,33
31,767,2FF,1814,1813,171
14,542,21E,73653,1957,1957
52,1027,403,7212,2864,4
53,1028,404,7290,2900,4
58,1035,40B,7218,2914,4
54,1031,407,7295,2916,4
59,1040,410,7219,7218,16
20,560,230,7355,7347,3
1,283,11B,7407,7352,192
8,527,20F,7404,7403,60
30,658,292,7436,7435,48
29,656,290,14695,14620,835
74,1345,541,72298,72297,5198
