ID_Occurrences,Payload_Changes,ID_(hex),ID_Timestamp,Action_Timestamp(w/out milliseconds),Action
69537,9,108,16:01:45.274,16:01:48.000000,drive forward 2
7418,13,203,15:52:37.869,15:52:38.000000,door unlock
7418,13,203,15:52:42.170,15:52:43.000000,door lock
7418,13,203,15:58:12.883,15:58:12.000000,charging port open
7418,13,203,15:58:13.784,15:58:12.000000,charging port open
7418,13,203,16:00:24.727,16:00:23.000000,rear trunk open
7418,13,203,16:00:34.030,16:00:35.000000,rear trunk open 2
7418,13,203,16:00:34.130,16:00:35.000000,rear trunk open 2
7418,13,203,16:00:50.136,16:00:47.000000,rear trunk close
7313,18,208,15:55:21.823,15:55:23.000000,sunroof fully open
7313,18,208,15:55:22.524,15:55:23.000000,sunroof fully open
7313,18,208,15:55:25.624,15:55:23.000000,sunroof fully open
7313,18,208,15:55:25.924,15:55:23.000000,sunroof fully open
7313,18,208,15:55:26.525,15:55:23.000000,sunroof fully open
7313,18,208,15:55:37.323,15:55:37.000000,sunroof close
7313,18,208,15:55:38.024,15:55:37.000000,sunroof close
7409,18,209,15:52:37.823,15:52:38.000000,door unlock
7409,18,209,15:52:37.924,15:52:38.000000,door unlock
7409,18,209,15:52:38.023,15:52:38.000000,door unlock
7409,18,209,15:52:42.125,15:52:43.000000,door lock
7409,18,209,15:52:43.626,15:52:43.000000,door lock
7409,18,209,15:54:48.366,15:54:49.000000,fold mirror
7409,18,209,15:54:56.168,15:54:57.000000,unfold mirrors 1
7409,18,209,15:54:58.769,15:54:57.000000,unfold mirrors 1
7409,18,209,15:55:01.670,15:55:04.000000,fold mirrors
7409,18,209,15:55:04.271,15:55:04.000000,fold mirrors
7409,18,209,15:55:09.674,15:55:11.000000,unfold mirrors 2
7409,18,209,15:55:12.274,15:55:11.000000,unfold mirrors 2
7409,18,209,16:00:24.778,16:00:23.000000,rear trunk open
7409,18,209,16:00:24.877,16:00:23.000000,rear trunk open
7409,18,209,16:01:15.994,16:01:16.000000,drive forward 
7409,18,209,16:01:17.394,16:01:16.000000,drive forward 
7340,18,20A,15:52:37.889,15:52:38.000000,door unlock
7340,18,20A,15:52:37.988,15:52:38.000000,door unlock
7340,18,20A,15:52:42.189,15:52:43.000000,door lock
7340,18,20A,15:52:43.790,15:52:43.000000,door lock
7340,18,20A,15:54:48.030,15:54:49.000000,fold mirror
7340,18,20A,15:54:56.133,15:54:57.000000,unfold mirrors 1
7340,18,20A,15:54:58.634,15:54:57.000000,unfold mirrors 1
7340,18,20A,15:55:01.635,15:55:04.000000,fold mirrors
7340,18,20A,15:55:04.035,15:55:04.000000,fold mirrors
7340,18,20A,15:55:09.637,15:55:11.000000,unfold mirrors 2
7340,18,20A,15:55:12.138,15:55:11.000000,unfold mirrors 2
7340,18,20A,16:00:24.741,16:00:23.000000,rear trunk open
7340,18,20A,16:00:24.841,16:00:23.000000,rear trunk open
7340,18,20A,16:01:15.958,16:01:16.000000,drive forward 
7340,18,20A,16:01:17.359,16:01:16.000000,drive forward 
7340,18,20A,16:01:17.559,16:01:16.000000,drive forward 
7331,9,20D,16:00:34.074,16:00:35.000000,rear trunk open 2
7331,9,20D,16:00:38.777,16:00:35.000000,rear trunk open 2
7331,9,20D,16:00:45.483,16:00:47.000000,rear trunk close
7331,9,20D,16:00:50.087,16:00:47.000000,rear trunk close
7331,9,20D,16:00:50.387,16:00:47.000000,rear trunk close
7401,3,213,15:58:12.884,15:58:12.000000,charging port open
7401,3,213,15:58:13.784,15:58:12.000000,charging port open
7417,25,214,15:52:55.055,15:52:56.000000,lights off
7417,25,214,15:52:55.154,15:52:56.000000,lights off
7417,25,214,15:53:02.758,15:53:04.000000,parking lights on
7417,25,214,15:53:02.958,15:53:04.000000,parking lights on
7417,25,214,15:53:20.566,15:53:21.000000,lights off
7417,25,214,15:58:13.001,15:58:12.000000,charging port open
7417,25,214,16:00:32.964,16:00:35.000000,rear trunk open 2
7417,25,214,16:01:16.685,16:01:16.000000,drive forward 
7417,25,214,16:01:25.088,16:01:27.000000,drive backward
7417,25,214,16:01:26.389,16:01:27.000000,drive backward
7417,25,214,16:01:46.197,16:01:48.000000,drive forward 2
7417,25,214,16:01:48.999,16:01:48.000000,drive forward 2
7353,5,223,15:52:37.808,15:52:38.000000,door unlock
7353,5,223,15:52:42.110,15:52:43.000000,door lock
7353,5,223,16:00:24.678,16:00:23.000000,rear trunk open
7353,5,223,16:01:15.895,16:01:16.000000,drive forward 
7341,6,234,16:00:33.860,16:00:35.000000,rear trunk open 2
7341,6,234,16:00:34.280,16:00:35.000000,rear trunk open 2
7341,6,234,16:00:45.454,16:00:47.000000,rear trunk close
7341,6,234,16:00:45.874,16:00:47.000000,rear trunk close
7341,6,234,16:00:50.115,16:00:47.000000,rear trunk close
7341,6,234,16:00:50.538,16:00:47.000000,rear trunk close
7368,9,238,15:52:54.931,15:52:56.000000,lights off
7368,9,238,15:53:02.828,15:53:04.000000,parking lights on
7368,9,238,15:53:10.928,15:53:11.000000,full beam on
7368,9,238,15:53:20.428,15:53:21.000000,lights off
7368,9,238,15:53:35.128,15:53:36.000000,interior lights on
7368,9,238,15:53:41.729,15:53:43.000000,interior lights off
7368,9,238,15:58:12.839,15:58:12.000000,charging port open
7368,9,238,15:58:14.039,15:58:12.000000,charging port open
9183,4,240,15:58:12.887,15:58:12.000000,charging port open
9183,4,240,15:58:22.890,15:58:21.000000,charging port close
7352,20,248,15:52:37.786,15:52:38.000000,door unlock
7352,20,248,15:52:38.686,15:52:38.000000,door unlock
7352,20,248,15:52:42.086,15:52:43.000000,door lock
7352,20,248,15:52:42.787,15:52:43.000000,door lock
7352,20,248,15:54:46.391,15:54:49.000000,fold mirror
7352,20,248,15:54:56.092,15:54:57.000000,unfold mirrors 1
7352,20,248,15:54:56.892,15:54:57.000000,unfold mirrors 1
7352,20,248,15:55:01.591,15:55:04.000000,fold mirrors
7352,20,248,15:55:02.391,15:55:04.000000,fold mirrors
7352,20,248,15:55:09.591,15:55:11.000000,unfold mirrors 2
7352,20,248,15:55:10.492,15:55:11.000000,unfold mirrors 2
7352,20,248,15:58:13.999,15:58:12.000000,charging port open
7352,20,248,16:00:33.806,16:00:35.000000,rear trunk open 2
7352,20,248,16:00:34.504,16:00:35.000000,rear trunk open 2
7352,20,248,16:00:45.406,16:00:47.000000,rear trunk close
7352,20,248,16:00:46.005,16:00:47.000000,rear trunk close
1444,2,258,16:05:22.438,16:05:23.000000,driver seat adjust
1444,2,258,16:05:24.404,16:05:23.000000,driver seat adjust
730,14,361,15:58:14.355,15:58:12.000000,charging port open
730,14,361,15:58:15.355,15:58:12.000000,charging port open
730,14,361,15:58:23.353,15:58:21.000000,charging port close
730,14,361,15:58:24.355,15:58:21.000000,charging port close
7023,8,50B,15:55:58.156,15:55:59.000000,driver window close
7023,8,50B,15:56:01.757,15:55:59.000000,driver window close
7023,8,50B,15:56:07.359,15:56:09.000000,driver window open
7023,8,50B,15:56:10.063,15:56:09.000000,driver window open
7023,8,50B,15:56:57.477,15:57:00.000000,Rear left window close
7023,8,50B,15:56:59.975,15:57:00.000000,Rear left window close
7023,8,50B,15:57:06.079,15:57:07.000000,Rear left window open
7023,8,50B,15:57:08.179,15:57:07.000000,Rear left window open
6943,8,50E,15:56:19.602,15:56:20.000000,Front passenger window close
6943,8,50E,15:56:23.003,15:56:20.000000,Front passenger window close
6943,8,50E,15:56:27.504,15:56:29.000000,Front passenger window open
6943,8,50E,15:56:30.205,15:56:29.000000,Front passenger window open
6943,8,50E,15:56:39.307,15:56:40.000000,Rear right window close
6943,8,50E,15:56:42.109,15:56:40.000000,Rear right window close
6943,8,50E,15:56:47.810,15:56:49.000000,Rear right window open
6943,8,50E,15:56:49.711,15:56:49.000000,Rear right window open
704,4,512,15:52:38.360,15:52:38.000000,door unlock
704,4,512,16:00:25.297,16:00:23.000000,rear trunk open
704,4,512,16:00:25.599,16:00:23.000000,rear trunk open
702,4,513,15:52:38.361,15:52:38.000000,door unlock
702,4,513,16:00:25.298,16:00:23.000000,rear trunk open
702,4,513,16:00:25.599,16:00:23.000000,rear trunk open
165,4,548,15:52:54.803,15:52:56.000000,lights off
165,4,548,15:53:02.694,15:53:04.000000,parking lights on
165,4,548,15:53:20.331,15:53:21.000000,lights off
14,13,568,15:53:05.483,15:53:04.000000,parking lights on
14,13,568,15:55:05.481,15:55:04.000000,fold mirrors
14,13,568,15:57:05.486,15:57:07.000000,Rear left window open
14,13,568,16:07:05.506,16:07:06.000000,seat heating off
3,2,578,15:55:04.882,15:55:04.000000,fold mirrors
